$$MCTS$$CALL1     301E                 /02/2003 03:36:04
230402TTNU345333315.002210       HKGGYE---KHL    0......
210402GLDU216495615.002210       HKGGYE---KHL    0......
210208KHLU942032115.402210       HKGGYE---KHL    0......
210210CAXU616716025.002210       HKGGYE---KHL    0......
071084KHLU620291720.402210D  0   KHHGYE---KHL    0......
070984KHLU522581520.502210D  0   KHHGYE---KHL    0......
070982KHLU521542121.202210D  0   KHHGYE---KHL    0......
070986TGHU221305010.502210       LGBGYE---KHL    0......
230706TTNU361134112.302210       SHAGYE---KHL    0......
230704ORNU300716413.802210       SHAGYE---KHL    0......
210706TGHU232379817.202210       SHAGYE---KHL    0......
230104TTNU361037120.102210       SHAGYE---KHL    0......
210102KHLU621417920.902210       SHAGYE---KHL    0......
210482GLDU207535521.002210D 6.1  SHAGYE---KHL    0......
230482TGHU232140821.402210D 6.1  SHAGYE---KHL    0......
230484TTNU333300321.402210D 6.1  SHAGYE---KHL    0......
210484KHLU522507621.402210D 6.1  SHAGYE---KHL    0......
210104TGHU224501521.502210       SHAGYE---KHL    0......
230106KHLU621641721.502210       SHAGYE---KHL    0......
230102TTNU344015121.502210       SHAGYE---KHL    0......
210704GLDU224303721.502210       SHAGYE---KHL    0......
210106KHLU621104021.502210       SHAGYE---KHL    0......
110210KHLU8215662 4.202210       BSNIQQ---KHL    0......
110208KHLU6206384 7.202210       BSNIQQ---KHL    0......
110206KHLU1211602 7.402210       BSNIQQ---KHL    0......
110204CAXU6167365 8.702210       BSNIQQ---KHL    0......
110602CAXU604542821.402210       BSNIQQ---KHL    0......
110804TGHU224971021.402210       BSNIQQ---KHL    0......
110202KHLU620158822.402210       BSNIQQ---KHL    0......
190102TGHU2197679 4.402210       HKGIQQ---KHL    0......
190104KHLU6207816 6.702210       HKGIQQ---KHL    0......
170582CRXU2267057 6.702210       HKGIQQ---KHL    0......
190582KHLU5219290 7.002210       HKGIQQ---KHL    0......
170106GESU2084387 7.002210       HKGIQQ---KHL    0......
190106KHLU1206859 7.202210       HKGIQQ---KHL    0......
170104KHLU5210501 7.502210       HKGIQQ---KHL    0......
170102TGHU2196163 8.102210       HKGIQQ---KHL    0......
190602GLDU223691113.602210       LGBIQQ---KHL    0......
170602CAXU618754614.302210       LGBIQQ---KHL    0......
050610KHLU5226771 6.302210       SHAIQQ---KHL    0......
070406TTNU2029017 6.402210       SHAIQQ---KHL    0......
070610KHLU520374013.302210       SHAIQQ---KHL    0......
070402CAXU620031314.102210       SHAIQQ---KHL    0......
070606TTNU333320914.402210       SHAIQQ---KHL    0......
070404TGHU219811915.202210       SHAIQQ---KHL    0......
070608KHLU621520015.402210       SHAIQQ---KHL    0......
070604KHLU521195615.902210       SHAIQQ---KHL    0......
050404KHLU521944816.702210       SHAIQQ---KHL    0......
050608KHLU120518020.102210       SHAIQQ---KHL    0......
050406CRXU295706822.702210       SHAIQQ---KHL    0......
010410TTNU2394637 2.002210E      LGBOPT---KHL    0......
010106KHLU8219816 2.002210E      LGBOPT---KHL    0......
030310CAXU6112784 2.002210E      LGBOPT---KHL    0......
330708CAXU6110312 2.002210E      LGBOPT---KHL    0......
030106KHLU8208914 2.002210E      LGBOPT---KHL    0......
030408TGHU2250454 2.002210E      LGBOPT---KHL    0......
030104KHLU8201458 2.002210E      LGBOPT---KHL    0......
030406TTNU3304643 2.002210E      LGBOPT---KHL    0......
010310TTNU3460857 2.002210E      LGBOPT---KHL    0......
030410TTNU3526743 2.002210E      LGBOPT---KHL    0......
030304TGHU2222895 2.002210E      LGBOPT---KHL    0......
010104TTNU3601852 2.002210E      LGBOPT---KHL    0......
010204KHLU8202048 2.002210E      LGBOPT---KHL    0......
010108KHLU9120010 2.002210E      LGBOPT---KHL    0......
030108KHLU6216530 2.002210E      LGBOPT---KHL    0......
030204KHLU6215489 2.002210E      LGBOPT---KHL    0......
030208KHLU1214448 2.002210E      LGBOPT---KHL    0......
030306KHLU1212722 2.002210E      LGBOPT---KHL    0......
030404CAXU6113749 2.002210E      LGBOPT---KHL    0......
030308CAXU6125288 2.002210E      LGBOPT---KHL    0......
010206CLHU2740311 2.002210E      LGBOPT---KHL    0......
010208FSCU3708712 2.002210E      LGBOPT---KHL    0......
330808KHLU8208679 2.002210E      LGBOPT---KHL    0......
030206KHLU8214162 2.002210E      LGBOPT---KHL    0......
290704KHLU520207022.402210       BSNTHO---KHL    0......
310704KHLU520965022.402210       BSNTHO---KHL    0......
290984TGHU2224028 2.202210       BSNVAP---KHL    0......
290784KHLU6205367 4.302210       BSNVAP---KHL    0......
290184KHLU8218888 5.102210       BSNVAP---KHL    0......
310984KHLU1205390 5.302210       BSNVAP---KHL    0......
290584KHLU1209760 6.002210       BSNVAP---KHL    0......
290384GLDU2169541 6.902210       BSNVAP---KHL    0......
290084KHLU8201571 7.102210       BSNVAP---KHL    0......
310784TTNU3625751 7.902210       BSNVAP---KHL    0......
310384KHLU6205958 9.602210       BSNVAP---KHL    0......
291084KHLU621183710.802210       BSNVAP---KHL    0......
310584KHLU522035111.702210       BSNVAP---KHL    0......
